# Ethernet MAC    Hostname
b8:27:eb:5b:da:20 rasp_00
b8:27:eb:7b:c3:91 rasp_01
b8:27:eb:54:9c:64 rasp_02
b8:27:eb:95:bd:11 rasp_03
b8:27:eb:c8:7b:8f rasp_04
b8:27:eb:0a:5c:16 rasp_05
b8:27:eb:31:9d:cc rasp_06
b8:27:eb:11:86:76 rasp_07
b8:27:eb:fc:9e:14 rasp_08
b8:27:eb:72:77:54 rasp_09
b8:27:eb:51:e3:17 rasp_10
b8:27:eb:14:16:4f rasp_11
b8:27:eb:ba:72:50 rasp_12
b8:27:eb:06:87:ae rasp_13
b8:27:eb:fb:a9:4f rasp_14
b8:27:eb:34:3a:27 rasp_15
b8:27:eb:84:39:af rasp_16
b8:27:eb:05:f9:a5 rasp_17
b8:27:eb:c8:fa:e2 rasp_18
b8:27:eb:fd:22:70 rasp_19
b8:27:eb:40:8c:11 rasp_20
b8:27:eb:29:cf:cf rasp_21
b8:27:eb:49:15:0a rasp_22
b8:27:eb:33:51:b5 rasp_23
b8:27:eb:d2:62:cf rasp_24
b8:27:eb:08:6a:c3 rasp_25
b8:27:eb:00:59:24 rasp_26
b8:27:eb:f0:9a:da rasp_27
b8:27:eb:1b:e5:7e rasp_28
b8:27:eb:f9:29:cc rasp_29
b8:27:eb:2a:b9:49 rasp_30
b8:27:eb:c3:98:e6 rasp_31
b8:27:eb:88:b4:83 rasp_32
b8:27:eb:b1:50:a2 rasp_33
b8:27:eb:97:69:8b rasp_34
b8:27:eb:4b:f5:e3 rasp_35
b8:27:eb:4d:34:7d rasp_36
b8:27:eb:fd:48:c7 rasp_37
b8:27:eb:5b:c9:29 rasp_38
b8:27:eb:8c:02:0b rasp_39
